"officer_id","year","month","num_stops","percent_missing_race","yrmth"
949,"2013","01",52,0,2013-01-01
949,"2013","02",32,0,2013-02-01
949,"2013","03",73,0,2013-03-01
949,"2013","04",90,0,2013-04-01
949,"2013","05",104,0,2013-05-01
949,"2013","06",66,0,2013-06-01
949,"2013","07",59,0,2013-07-01
949,"2013","08",79,0,2013-08-01
949,"2013","09",85,0,2013-09-01
949,"2013","10",27,0,2013-10-01
949,"2013","11",62,0,2013-11-01
949,"2013","12",7,0,2013-12-01
949,"2014","01",10,0,2014-01-01
956,"2011","01",95,0,2011-01-01
956,"2011","02",83,0,2011-02-01
956,"2011","03",77,0,2011-03-01
956,"2011","04",65,0,2011-04-01
956,"2011","05",167,0,2011-05-01
956,"2011","06",135,0,2011-06-01
956,"2011","07",89,0,2011-07-01
956,"2011","08",72,0,2011-08-01
956,"2011","09",139,0,2011-09-01
956,"2011","10",61,0,2011-10-01
956,"2011","11",24,0,2011-11-01
956,"2011","12",14,0,2011-12-01
956,"2012","01",134,0.746268656716418,2012-01-01
956,"2012","02",68,0,2012-02-01
956,"2012","03",137,1.45985401459854,2012-03-01
956,"2012","04",158,0.632911392405063,2012-04-01
956,"2012","05",57,0,2012-05-01
956,"2012","06",68,1.47058823529412,2012-06-01
956,"2012","07",82,6.09756097560976,2012-07-01
956,"2012","08",49,2.04081632653061,2012-08-01
956,"2012","09",135,0,2012-09-01
956,"2012","10",82,0,2012-10-01
956,"2012","11",30,0,2012-11-01
956,"2012","12",6,0,2012-12-01
956,"2013","01",134,0.746268656716418,2013-01-01
956,"2013","02",96,0,2013-02-01
956,"2013","03",114,0,2013-03-01
956,"2013","04",129,0,2013-04-01
956,"2013","05",73,2.73972602739726,2013-05-01
956,"2013","06",128,0,2013-06-01
956,"2013","07",138,1.44927536231884,2013-07-01
956,"2013","08",109,0,2013-08-01
956,"2013","09",120,0.833333333333333,2013-09-01
956,"2013","10",75,0,2013-10-01
956,"2013","11",4,0,2013-11-01
956,"2013","12",3,0,2013-12-01
956,"2014","01",6,0,2014-01-01
956,"2014","02",74,0,2014-02-01
956,"2014","03",79,0,2014-03-01
956,"2014","04",187,1.06951871657754,2014-04-01
956,"2014","05",180,0.555555555555556,2014-05-01
956,"2014","06",223,1.34529147982063,2014-06-01
956,"2014","07",128,0.78125,2014-07-01
956,"2014","08",78,2.56410256410256,2014-08-01
956,"2014","09",80,0,2014-09-01
956,"2014","10",139,31.6546762589928,2014-10-01
956,"2014","11",70,100,2014-11-01
956,"2014","12",21,33.3333333333333,2014-12-01
956,"2015","01",50,90,2015-01-01
956,"2015","02",84,95.2380952380952,2015-02-01
956,"2015","03",86,100,2015-03-01
956,"2015","04",175,100,2015-04-01
956,"2015","05",82,100,2015-05-01
956,"2015","06",182,28.021978021978,2015-06-01
956,"2015","07",116,0,2015-07-01
956,"2015","08",58,0,2015-08-01
956,"2015","09",145,0,2015-09-01
956,"2015","10",98,1.02040816326531,2015-10-01
956,"2015","11",85,0,2015-11-01
956,"2015","12",18,0,2015-12-01
959,"2011","01",65,0,2011-01-01
959,"2011","02",75,0,2011-02-01
960,"2014","07",1,0,2014-07-01
960,"2014","08",8,0,2014-08-01
968,"2011","01",66,0,2011-01-01
968,"2011","02",78,0,2011-02-01
968,"2011","03",54,0,2011-03-01
968,"2011","04",68,0,2011-04-01
968,"2011","05",109,0,2011-05-01
968,"2011","06",23,0,2011-06-01
971,"2011","01",32,0,2011-01-01
971,"2011","02",33,0,2011-02-01
971,"2011","03",66,0,2011-03-01
971,"2011","04",51,0,2011-04-01
971,"2011","05",68,0,2011-05-01
971,"2011","06",29,0,2011-06-01
971,"2011","07",99,0,2011-07-01
971,"2011","08",90,0,2011-08-01
971,"2011","09",104,0,2011-09-01
971,"2011","10",63,0,2011-10-01
971,"2011","11",82,1.21951219512195,2011-11-01
971,"2011","12",53,0,2011-12-01
971,"2012","01",44,0,2012-01-01
971,"2012","02",75,0,2012-02-01
971,"2012","03",75,2.66666666666667,2012-03-01
971,"2012","04",17,0,2012-04-01
971,"2012","05",105,0,2012-05-01
971,"2012","06",102,0,2012-06-01
971,"2012","07",86,0,2012-07-01
971,"2012","08",45,0,2012-08-01
971,"2012","09",104,0,2012-09-01
971,"2012","10",53,0,2012-10-01
971,"2012","11",60,0,2012-11-01
971,"2012","12",48,0,2012-12-01
971,"2013","01",45,0,2013-01-01
971,"2013","02",38,0,2013-02-01
971,"2013","03",68,0,2013-03-01
971,"2013","04",46,0,2013-04-01
971,"2013","05",45,0,2013-05-01
971,"2013","06",108,0,2013-06-01
971,"2013","07",87,0,2013-07-01
971,"2013","08",75,0,2013-08-01
971,"2013","09",92,0,2013-09-01
971,"2013","10",76,0,2013-10-01
971,"2013","11",91,0,2013-11-01
971,"2013","12",52,0,2013-12-01
971,"2014","01",18,0,2014-01-01
971,"2014","02",44,0,2014-02-01
971,"2014","03",53,1.88679245283019,2014-03-01
971,"2014","04",58,0,2014-04-01
971,"2014","05",91,0,2014-05-01
971,"2014","06",92,0,2014-06-01
971,"2014","07",70,0,2014-07-01
